Orange Boy Ergo (67 keys)	Cost	Keycaps	Cost		hi ben and weebens
plateless	$43.00	EM Kitty	$30.00		
with plate	$51.00	XY Kitty	$75.00		
					
					
					
		Switches			
		Nk Creams x2	$46.80		
		TTC Gold Pink x7	$34.30		
		Gat Ink Blacks v2 x7	$52.50		
		Alpaca Linears x70	$38.50		
					
					
.config		Extras			
Switchless	$94.00	Durock v2 (2u stabs) x6	$21.00		
Nk Creams	$140.80				
TTC Gold Pink	$128.30				
Gat Ink Black	$146.50				
Alpaca Linears	$132.50				
Most likely config: plateless, EM Kitty, NK creams, Durock v2	$140.80				
